Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-22 00:00:00-04:00,453.0,487.5,453.0,465.0,624,0.0,0.0
2018-05-23 00:00:00-04:00,489.0,525.0,465.0,525.0,773,0.0,0.0
2018-05-24 00:00:00-04:00,675.0,675.0,525.0,600.0,137,0.0,0.0
2018-05-25 00:00:00-04:00,810.0,810.0,600.0,637.5,155,0.0,0.0
2018-05-29 00:00:00-04:00,603.0,652.5,600.0,603.0,280,0.0,0.0
2018-05-30 00:00:00-04:00,603.0,603.0,513.0,579.0,181,0.0,0.0
2018-05-31 00:00:00-04:00,570.0,600.0,570.0,600.0,159,0.0,0.0
2018-06-01 00:00:00-04:00,603.0,607.5,570.0,607.5,190,0.0,0.0
2018-06-04 00:00:00-04:00,600.0,637.5,592.5,603.0,159,0.0,0.0
2018-06-05 00:00:00-04:00,600.0,600.0,600.0,600.0,103,0.0,0.0
2018-06-06 00:00:00-04:00,600.0,600.0,600.0,600.0,1,0.0,0.0
2018-06-07 00:00:00-04:00,600.0,645.0,600.0,600.0,72,0.0,0.0
2018-06-08 00:00:00-04:00,600.0,712.5,600.0,637.5,17,0.0,0.0
2018-06-11 00:00:00-04:00,675.0,690.0,675.0,675.0,20,0.0,0.0
2018-06-12 00:00:00-04:00,645.0,645.0,630.0,630.0,27,0.0,0.0
2018-06-13 00:00:00-04:00,603.0,637.5,601.5,637.5,101,0.0,0.0
2018-06-14 00:00:00-04:00,640.5,675.0,630.0,667.5,230,0.0,0.0
2018-06-15 00:00:00-04:00,675.0,787.5,675.0,787.5,446,0.0,0.0
2018-06-18 00:00:00-04:00,795.0,937.5,787.5,825.0,401,0.0,0.0
2018-06-19 00:00:00-04:00,825.0,900.0,817.5,872.25,502,0.0,0.0
2018-06-20 00:00:00-04:00,870.0,888.0,825.0,862.5,661,0.0,0.0
2018-06-21 00:00:00-04:00,870.0,885.0,847.5,850.5,139,0.0,0.0
2018-06-22 00:00:00-04:00,877.5,936.0,843.0,855.0,171,0.0,0.0
2018-06-25 00:00:00-04:00,855.0,892.5,846.0,892.5,85,0.0,0.0
2018-06-26 00:00:00-04:00,900.0,934.5,900.0,900.0,37,0.0,0.0
2018-06-27 00:00:00-04:00,862.5,898.5,840.0,840.0,28,0.0,0.0
2018-06-28 00:00:00-04:00,840.0,897.0,787.5,870.0,519,0.0,0.0
2018-06-29 00:00:00-04:00,840.0,862.5,840.0,855.0,127,0.0,0.0
2018-07-02 00:00:00-04:00,855.0,855.0,840.0,847.5,194,0.0,0.0
2018-07-03 00:00:00-04:00,840.0,847.5,840.0,847.5,87,0.0,0.0
2018-07-05 00:00:00-04:00,855.0,862.5,840.0,861.0,69,0.0,0.0
2018-07-06 00:00:00-04:00,840.0,862.5,840.0,852.0,157,0.0,0.0
2018-07-09 00:00:00-04:00,840.0,855.0,840.0,855.0,113,0.0,0.0
2018-07-10 00:00:00-04:00,852.0,855.0,838.5,847.5,189,0.0,0.0
2018-07-11 00:00:00-04:00,862.5,865.5,847.5,864.0,187,0.0,0.0
2018-07-12 00:00:00-04:00,865.5,865.5,847.5,847.5,84,0.0,0.0
2018-07-13 00:00:00-04:00,854.25,862.5,847.5,847.5,61,0.0,0.0
2018-07-16 00:00:00-04:00,847.5,847.5,840.0,847.5,126,0.0,0.0
2018-07-17 00:00:00-04:00,840.0,864.0,840.0,861.0,157,0.0,0.0
2018-07-18 00:00:00-04:00,855.0,864.0,847.5,862.5,139,0.0,0.0
2018-07-19 00:00:00-04:00,862.5,862.5,847.5,862.5,40,0.0,0.0
2018-07-20 00:00:00-04:00,855.0,862.5,840.0,862.5,21,0.0,0.0
2018-07-23 00:00:00-04:00,847.5,861.0,847.5,855.0,122,0.0,0.0
2018-07-24 00:00:00-04:00,855.0,855.0,820.5,855.0,71,0.0,0.0
2018-07-25 00:00:00-04:00,855.0,855.0,825.0,855.0,34,0.0,0.0
2018-07-26 00:00:00-04:00,826.5,865.5,826.5,865.5,301,0.0,0.0
2018-07-27 00:00:00-04:00,855.0,855.0,844.5,844.5,394,0.0,0.0
2018-07-30 00:00:00-04:00,855.0,870.0,760.5,835.5,359,0.0,0.0
2018-07-31 00:00:00-04:00,840.0,861.0,757.5,772.5,304,0.0,0.0
2018-08-01 00:00:00-04:00,766.5,771.0,714.0,714.0,459,0.0,0.0
2018-08-02 00:00:00-04:00,715.5,754.5,714.0,745.5,21,0.0,0.0
2018-08-03 00:00:00-04:00,748.5,754.5,735.0,750.0,558,0.0,0.0
2018-08-06 00:00:00-04:00,751.5,757.5,750.0,750.0,45,0.0,0.0
2018-08-07 00:00:00-04:00,757.5,757.5,750.0,750.0,251,0.0,0.0
2018-08-08 00:00:00-04:00,751.5,760.5,738.0,748.5,322,0.0,0.0
2018-08-09 00:00:00-04:00,741.0,750.0,741.0,750.0,170,0.0,0.0
2018-08-10 00:00:00-04:00,750.0,750.0,741.0,741.0,39,0.0,0.0
2018-08-13 00:00:00-04:00,750.0,757.5,745.5,745.5,391,0.0,0.0
2018-08-14 00:00:00-04:00,763.5,763.5,718.5,723.0,479,0.0,0.0
2018-08-15 00:00:00-04:00,742.5,750.0,741.0,750.0,33,0.0,0.0
2018-08-16 00:00:00-04:00,757.5,757.5,750.0,750.0,361,0.0,0.0
2018-08-17 00:00:00-04:00,751.5,756.0,750.0,755.4000244140625,257,0.0,0.0
2018-08-20 00:00:00-04:00,756.0,756.0,742.5,750.0,252,0.0,0.0
2018-08-21 00:00:00-04:00,750.0,756.0,748.5,748.5,20,0.0,0.0
2018-08-22 00:00:00-04:00,750.0,757.5,748.5,757.5,1054,0.0,0.0
2018-08-23 00:00:00-04:00,750.0,765.0,748.5,757.5,1009,0.0,0.0
2018-08-24 00:00:00-04:00,750.0,757.5,745.5,750.0,435,0.0,0.0
2018-08-27 00:00:00-04:00,750.0,756.0,723.0,723.0,735,0.0,0.0
2018-08-28 00:00:00-04:00,748.5,750.0,724.5,735.0,284,0.0,0.0
2018-08-29 00:00:00-04:00,739.5,750.0,739.5,742.5,683,0.0,0.0
2018-08-30 00:00:00-04:00,742.5,748.5,742.5,744.0,597,0.0,0.0
2018-08-31 00:00:00-04:00,747.0,750.0,741.0,742.5,2305,0.0,0.0
2018-09-04 00:00:00-04:00,751.5,753.0,738.0,742.5,1531,0.0,0.0
2018-09-05 00:00:00-04:00,745.5,748.5,741.0,742.5,487,0.0,0.0
2018-09-06 00:00:00-04:00,748.5,748.5,742.5,742.5,480,0.0,0.0
2018-09-07 00:00:00-04:00,742.5,745.5,742.5,745.5,351,0.0,0.0
2018-09-10 00:00:00-04:00,742.5,745.5,742.5,742.5,989,0.0,0.0
2018-09-11 00:00:00-04:00,747.0,867.0,744.0,756.0,6137,0.0,0.0
2018-09-12 00:00:00-04:00,755.25,759.0,710.7000122070312,742.5,2781,0.0,0.0
2018-09-13 00:00:00-04:00,745.5,745.5,739.5,739.5,2774,0.0,0.0
2018-09-14 00:00:00-04:00,744.0,744.0,742.5,742.5,494,0.0,0.0
2018-09-17 00:00:00-04:00,744.0,744.0,720.0,721.5,194,0.0,0.0
2018-09-18 00:00:00-04:00,744.0,975.0,744.0,975.0,3988,0.0,0.0
2018-09-19 00:00:00-04:00,967.5,967.5,735.0,743.8499755859375,2114,0.0,0.0
2018-09-20 00:00:00-04:00,765.0,765.0,735.0,742.5,3485,0.0,0.0
2018-09-21 00:00:00-04:00,744.0,748.5,736.5,739.5,1913,0.0,0.0
2018-09-24 00:00:00-04:00,745.5,745.5,720.0,744.0,396,0.0,0.0
2018-09-25 00:00:00-04:00,739.5,739.5,687.0,723.0,383,0.0,0.0
2018-09-26 00:00:00-04:00,723.75,723.75,676.5,689.25,351,0.0,0.0
2018-09-27 00:00:00-04:00,697.5,697.5,585.0,622.5,1919,0.0,0.0
2018-09-28 00:00:00-04:00,600.0,622.5,600.0,613.5,596,0.0,0.0
2018-10-01 00:00:00-04:00,598.5,613.5,585.0,600.0,218,0.0,0.0
