Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-12-03 00:00:00+09:00,2220.0,2220.0,2048.0,2070.0,1561,0.0,0.0,0.0
2024-12-04 00:00:00+09:00,2120.0,2120.0,2048.0,2057.0,657,0.0,0.0,0.0
2024-12-05 00:00:00+09:00,2074.0,2074.0,2047.0,2053.0,70,0.0,0.0,0.0
2024-12-06 00:00:00+09:00,2063.0,2063.0,2034.0,2043.0,1700,0.0,0.0,0.0
2024-12-09 00:00:00+09:00,2058.0,2058.0,2037.0,2046.0,901,0.0,0.0,0.0
2024-12-10 00:00:00+09:00,2052.0,2052.0,2052.0,2052.0,17,0.0,0.0,0.0
2024-12-11 00:00:00+09:00,2051.0,2053.0,2048.0,2053.0,279,0.0,0.0,0.0
2024-12-12 00:00:00+09:00,2074.0,2083.0,2074.0,2080.0,117,0.0,0.0,0.0
2024-12-13 00:00:00+09:00,2060.0,2060.0,2050.0,2050.0,78,0.0,0.0,0.0
2024-12-16 00:00:00+09:00,2057.0,2057.0,2047.0,2047.0,24,0.0,0.0,0.0
2024-12-17 00:00:00+09:00,2044.0,2044.0,2044.0,2044.0,601,0.0,0.0,0.0
2024-12-18 00:00:00+09:00,2034.0,2038.0,2024.0,2024.0,12,0.0,0.0,0.0
2024-12-19 00:00:00+09:00,1992.0,2024.0,1992.0,2022.0,351,0.0,0.0,0.0
2024-12-20 00:00:00+09:00,2024.0,2024.0,2010.0,2010.0,12,0.0,0.0,0.0
2024-12-23 00:00:00+09:00,2025.0,2025.0,2017.0,2025.0,106,0.0,0.0,0.0
2024-12-24 00:00:00+09:00,2030.0,2036.0,2021.0,2036.0,10,0.0,0.0,0.0
2024-12-26 00:00:00+09:00,2038.0,2052.0,2038.0,2041.0,26,0.0,0.0,0.0
2024-12-27 00:00:00+09:00,2080.0,2085.0,2078.0,2085.0,53,0.0,0.0,0.0
2024-12-30 00:00:00+09:00,2097.0,2097.0,2077.0,2077.0,103,0.0,0.0,0.0
2025-01-06 00:00:00+09:00,2083.0,2083.0,2056.0,2058.0,132,0.0,0.0,0.0
2025-01-07 00:00:00+09:00,2065.0,2089.0,2065.0,2087.0,13,0.0,0.0,0.0
2025-01-08 00:00:00+09:00,2089.0,2089.0,2085.0,2085.0,10,0.0,0.0,0.0
2025-01-09 00:00:00+09:00,2062.0,2067.0,2043.0,2043.0,103,0.0,0.0,0.0
2025-01-10 00:00:00+09:00,2037.0,2037.0,2037.0,2037.0,2,0.0,0.0,0.0
2025-01-14 00:00:00+09:00,2038.0,2038.0,2008.0,2008.0,46,0.0,0.0,0.0
2025-01-15 00:00:00+09:00,2041.0,2041.0,2041.0,2041.0,2,0.0,0.0,0.0
2025-01-16 00:00:00+09:00,2042.0,2042.0,2019.0,2019.0,15,0.0,0.0,0.0
2025-01-17 00:00:00+09:00,1993.0,2008.0,1993.0,2008.0,11,0.0,0.0,0.0
2025-01-20 00:00:00+09:00,2032.0,2033.0,2032.0,2033.0,2,0.0,0.0,0.0
2025-01-22 00:00:00+09:00,2069.0,2069.0,2069.0,2069.0,2,0.0,0.0,0.0
2025-01-23 00:00:00+09:00,2073.0,2073.0,2073.0,2073.0,22,0.0,0.0,0.0
2025-01-24 00:00:00+09:00,2094.0,2094.0,2080.0,2080.0,65,0.0,0.0,0.0
2025-01-27 00:00:00+09:00,2094.0,2094.0,2086.0,2086.0,11,0.0,0.0,0.0
2025-01-29 00:00:00+09:00,2090.0,2090.0,2083.0,2083.0,3,0.0,0.0,0.0
2025-01-30 00:00:00+09:00,2084.0,2084.0,2084.0,2084.0,1,0.0,0.0,0.0
2025-02-03 00:00:00+09:00,2049.0,2049.0,2024.0,2024.0,44,0.0,0.0,0.0
2025-02-05 00:00:00+09:00,2066.0,2066.0,2050.0,2050.0,46,0.0,0.0,0.0
2025-02-06 00:00:00+09:00,2051.0,2051.0,2051.0,2051.0,10,0.0,0.0,0.0
2025-02-07 00:00:00+09:00,2051.0,2051.0,2035.0,2035.0,33,0.0,0.0,0.0
2025-02-12 00:00:00+09:00,2047.0,2047.0,2031.0,2035.0,26,0.0,0.0,0.0
2025-02-13 00:00:00+09:00,2040.0,2040.0,2040.0,2040.0,10,0.0,0.0,0.0
2025-02-19 00:00:00+09:00,2088.0,2088.0,2083.0,2083.0,12,0.0,0.0,0.0
2025-02-20 00:00:00+09:00,2048.0,2048.0,2048.0,2048.0,22,0.0,0.0,0.0
2025-02-21 00:00:00+09:00,2053.0,2053.0,2051.0,2051.0,4,0.0,0.0,0.0
2025-02-25 00:00:00+09:00,2027.0,2043.0,2027.0,2043.0,12,0.0,0.0,0.0
2025-02-26 00:00:00+09:00,2031.0,2031.0,2014.0,2014.0,28,0.0,0.0,0.0
2025-02-27 00:00:00+09:00,2015.0,2015.0,2015.0,2015.0,1,0.0,0.0,0.0
2025-02-28 00:00:00+09:00,2003.0,2003.0,1986.0,1986.0,32,0.0,0.0,0.0
2025-03-03 00:00:00+09:00,2024.0,2024.0,2024.0,2024.0,8,0.0,0.0,0.0
2025-03-04 00:00:00+09:00,2017.0,2017.0,2017.0,2017.0,100,0.0,0.0,0.0
2025-03-05 00:00:00+09:00,2020.0,2020.0,2016.0,2020.0,39,0.0,0.0,0.0
2025-03-06 00:00:00+09:00,2023.0,2023.0,2023.0,2023.0,1,0.0,0.0,0.0
2025-03-07 00:00:00+09:00,2013.0,2013.0,2013.0,2013.0,1,0.0,0.0,0.0
